Uniprot ID,Gene name,GTEx,Brain_RNA-Seq,HPA_RNA,HPA_IHC,HPA_Consensus,Tau Sum,scRNAseq Rank,scRNAseq Attribution,DT Mass Spec - Plasma,DT Mass Spec - CSF,DT Mass Spec - Neuron Culture,HPPP - Plasma,HPPP - EV,iPSC Proteomics,Guldbrandsen2014,Zhang2007,Macron2018,Schutzer2010,Begcevic2016,Thompson2020,Muraoka2020,Thompson2018,Chiasserini2014,DT Plasma EVs from 10 individuals,DT CSF EVs from 10 individuals,Sum in Mass Spec,Transmembrane
Q96PR1,KCNC2,0.9843326906575904,0.9349592011620134,0.9736723252677129,0.0,0.8088948997736763,3.701859116860993,34,0.0035747317115117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q7Z7J7,LHFPL4,0.9646415471640779,0.8454219659132128,0.9563652818550279,0.0,0.9635234664543921,3.7299522613867104,1831,0.0002764166064547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P23416,GLRA2,0.9891359798997588,0.9304924236337149,0.9573942721755769,0.9469042258651806,0.969835952092552,4.793762853666784,875,0.0005301150005679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9NYM4,GPR83,0.8974341893015492,0.929833117873277,0.9267203799200052,0.0,0.9331871835328864,3.6871748706277176,11531,2.5307041825862435e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P48169,GABRA4,0.9559629837026724,0.8113725463439148,0.9566396863399848,0.0,0.955433190709901,3.679408407096473,633,0.000706056291973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P48549,KCNJ3,0.8381816796407645,0.9217687596978801,0.7747742999925339,1.0000000000000009,0.12577822036076453,3.660502959691944,41,0.0034332786718902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9NZV8,KCND2,0.841385632959893,0.7413344032254073,0.8774308793761163,1.0000000000000009,0.1992429199581614,3.659393835519579,106,0.0023280113917671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O43761,SYNGR3,0.8591814425142155,0.9276641071558771,0.8645414921859474,0.9881947990007364,0.0,3.6395818408567764,1273,0.0003793231661501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8NCM2,KCNH5,0.9798574197360739,0.8330084274763055,0.9891660208875319,0.0,0.821393895982945,3.6234257640828567,408,0.0009913898619532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q2M3C6,TMEM266,0.7708100913724842,0.7167368673225145,0.9126089189290157,1.0000000000000009,0.2124314439271879,3.6125873215512034,4551,0.0001157308486531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q99726,SLC30A3,0.872880140271254,0.7375282895645776,0.9441526447198536,0.9951551992997587,0.21512493881551298,3.764841212670957,2587,0.0002019491258271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P32245,MC4R,0.9579133364353754,0.7946991489865765,0.9312265070968591,0.6752980422450667,0.23791451977409203,3.5970515545379698,20194,9.064588794121116e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q7L8C5,SYT13,0.8484197297102972,0.9175591671784497,0.7538137485151202,0.8298728436903547,0.24068659686937977,3.590352085963602,843,0.0005467990726388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q4W5P6,SMIM43,0.8900694890469262,0.8171016871724566,0.9906086652217423,0.0,0.8304238595352667,3.528203700976392,23000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9Y2T5,GPR52,0.8677925256612486,0.7239615558719765,0.9845068294585771,0.0,0.9489098132260236,3.5251707242178263,24811,4.323263021036454e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P46095,GPR6,0.9982520275102011,0.8378490267039378,0.9955086434365509,0.0,0.6673041847683975,3.4989138824190875,17362,3.574988291217347e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O75311,GLRA3,0.9777792634777183,0.8863719677735038,0.9643046988807463,0.0,0.6667207732080529,3.495176703340021,860,0.0005384626081579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q86SP6,GPR149,0.9853247307799022,0.8918796778148941,0.9842747276643894,0.0,0.591772677839803,3.453251814098989,3150,0.0001674209056029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q99680,GPR22,0.8869718320749362,0.8531849935326795,0.9488266955423121,0.0,0.7301679273317213,3.4191514484816494,725,0.0006255476299527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
A4IF30,SLC35F4,0.9032193179368897,0.9157592346378836,0.9405734060709422,0.0,0.6433450553145728,3.4028970139602883,977,0.0004744118011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q969V1,MCHR2,0.998565597534933,0.8802082681108139,0.9881128683254861,0.0,0.5082998527181126,3.375186586689346,3993,0.0001331040101666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9BXU9,CALN1,0.9277294720584286,0.8109465623562839,0.8985513239156402,0.7843621223681575,0.17494942142426037,3.5965389021227705,372,0.0010575778861348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O95259,KCNH1,0.8614195492669907,0.8232273064206908,0.9296144638019141,0.9556722028780562,0.2753552047685477,3.8452887271361997,561,0.0007613984803192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P47898,HTR5A,0.9994847596675687,0.9312317791057559,0.990266972390742,0.7105375974781568,0.24091467980648362,3.8724357884487066,14077,1.2424713527167887e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9Y698,CACNG2,0.9950559856962131,0.889648855840143,0.9919585725770395,0.0,1.0000000000000004,3.876663414113396,445,0.0009294852996409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O75899,GABBR2,0.9531994776823912,0.8663808154713781,0.957292284742901,0.9931346114660943,0.9929477418578782,4.7629549312206425,102,0.00240423473145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q16445,GABRA6,0.9999108765149107,0.7649361735488731,0.9979116111303552,1.0000000000000009,0.899052624780883,4.661811285975023,3361,0.0001578922468921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8NDV2,GPR26,0.8548748832617028,0.8565605017687157,0.9999999999999992,1.0000000000000009,0.9465585255188017,4.65799391054922,16246,5.7185215902341565e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P54829,PTPN5,0.8794555834474282,0.895192667234455,0.9295902257030915,0.9664526099318503,0.9593033009543442,4.629994387271169,425,0.0009612774160343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P47870,GABRB2,0.9382672255100666,0.8742985228958652,0.9082666975852753,1.0000000000000009,0.8893712053862627,4.6102036513774705,10,0.005822773410821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P0C2S0,CTXN2,0.9957573917708609,0.8551469061677177,0.973422897383993,0.7551953770548889,0.9654957354601169,4.545018307837577,18281,2.390312749632942e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q16515,ASIC2,0.917215953145808,0.8923234758501485,0.9339856157653342,1.0000000000000009,0.7601595788984452,4.503684623659737,255,0.0014039250696743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
B1AL88,FAM155A,0.8791635824156265,0.7016802531249378,0.8819190179575929,1.0000000000000009,0.9828818971690526,4.445644750667211,53,0.0031981926757618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q09470,KCNA1,0.9509935332940314,0.7308857909267781,0.9612539760903743,1.0000000000000009,0.7675592170691136,4.410692517380298,7166,6.447516506500665e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q12879,GRIN2A,0.9117977668155861,0.8853184213971854,0.9232286888816499,0.9878667355082421,0.6455165418125679,4.353728154415231,61,0.0030382566945208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q99928,GABRG3,0.9341137015091701,0.9282814000643723,0.9009690165437214,0.8840351346574145,0.6441757265207128,4.291574979295391,23,0.0041647340597815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P39086,GRIK1,0.8784123926210993,0.8457502891957203,0.9165419408522687,0.5487608512558578,0.9972217228983327,4.186687196823279,313,0.0012235942716427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9H2B2,SYT4,0.9573370589929644,0.93374632398061,0.8915690030180536,1.0000000000000009,0.39825251882244744,4.180904904814076,510,0.0008257665403039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q6ZSA7,LRRC55,0.8612024295090392,0.7862678375317964,0.88971886352255,0.6578574703673608,0.9611456249593165,4.156192225890063,13549,1.4684308162681385e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P41145,OPRK1,0.9647788628379148,0.95507051879897,0.9709987477741473,0.9807692307692316,0.20301632119580262,4.074633681376066,9513,3.955860841601963e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8TBG9,SYNPR,0.9896693282080349,0.9182981954718821,0.9608997576573103,1.0000000000000009,0.197762380081751,4.066629661418979,131,0.0020438877098088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q32ZL2,PLPPR5,0.9882448158427708,0.8375108447133639,0.9670444773736822,1.0000000000000009,0.22378952108372857,4.016589659013546,832,0.0005522209716224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P48547,KCNC1,0.975533211427018,0.8948255111856145,0.9362492145156813,0.9878667355082421,0.20292512493735215,3.997399797573908,1721,0.0002910417446346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P48664,SLC1A6,0.9668768533041743,0.7375282895645776,0.9230149485029681,0.9523445568467469,0.35754026117320803,3.937304909391675,4650,0.0001129107731927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8NBT3,TMEM145,0.9094540152729844,0.8419554154715942,0.8396648463776328,0.9811932376796423,0.32980870312144495,3.9020762179232986,2720,0.0001931693982332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8N2C7,UNC80,0.93379679280832,0.8104282818986467,0.9448864607582597,1.0000000000000009,0.18968864582165904,3.8788001812868864,517,0.0008187348288374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q96EP9,SLC10A4,0.7118541687832018,0.9161554114335051,0.9560626498412782,0.0,0.7828553080998412,3.3669275381578263,8876,4.539431474392789e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q6PI25,CNIH2,0.8495064603680179,0.7662947692260682,0.9431011185761202,0.0,0.7523236322486143,3.3112259804188207,2516,0.0002067981539746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O60359,CACNG3,0.9989914161600093,0.8846455641043544,0.9836961442341883,0.9917177584985895,0.969899176271191,4.828950059268332,199,0.001619024512276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O43749,OR1F1,0.9951342038269064,0.7972139492682657,0.9911293661188294,0.0,0.12460519901195445,2.908082718225956,23000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q96JJ6,JPH4,0.7593874969270731,0.7028617221377025,0.8054428305385279,0.0,0.4749673073470419,2.7426593569503455,228,0.0014940874475531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
A6NNN8,SLC38A8,0.9778981640749966,0.7167368673225145,0.9721190109092169,0.0,0.25005850894277,2.916812551249498,14928,9.28694872668186e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8IW70,TMEM151B,0.9635933293220982,0.734751820604058,0.958875410175411,0.0,0.3457282068894023,3.0029487669909694,10473,3.2234223791028755e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P31644,GABRA5,0.9693305769254124,0.9159459380362387,0.9658779176919094,0.0,0.10637736734311236,2.957531799996673,1847,0.0002748874165633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9BZA8,PCDH11Y,0.9137487634210799,0.8568886291098166,0.9765786777684373,0.0,0.2897943997973322,3.037010470096666,1688,0.0002970469623352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P35498,SCN1A,0.9743056350906982,0.8440892486776698,0.9704155620721473,0.0,0.48095910034430334,3.269769546184819,159,0.0018387417499444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P18507,GABRG2,0.9957610672228883,0.9023101667600323,0.8289652806258189,0.0,0.3238542619007346,3.050890776509474,119,0.0021797071481159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q5HYL7,TMEM196,0.9598737682656511,0.8812999595228992,0.9335074413293438,0.0,0.0,2.774681169117894,2011,0.0002549315333407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
A6NDD5,SYNDIG1L,0.9276997270398796,0.8203823870788252,0.9643413403160344,0.0,0.0,2.712423454434739,7474,6.019532611075751e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q9GZN0,GPR88,0.8691446627918373,0.7649361735488731,0.9230584513915076,0.0,0.44932745240657357,3.0064667401387917,11422,2.611739906604936e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q6PIU1,KCNV1,0.979669576653426,0.8867101772645629,0.9113357992241004,0.0,0.10231349890365671,2.880029052045746,4786,0.0001094201831484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P48051,KCNJ6,0.983626651012091,0.9306694254988607,0.9786604160013285,0.0,0.2570373135778903,3.1499938060901704,180,0.0017151349755393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8N4F7,RNF175,0.7397813042743661,0.7452631963608302,0.8140358564451289,0.0,0.29228442596046755,2.5913647830407927,1221,0.0003928436799936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8IY50,SLC35F3,0.8552366326452305,0.8431234052000564,0.8843672608383154,0.0,0.0,2.5827272986836025,108,0.002325514734636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8WXH2,JPH3,0.9443722471850409,0.8057018695467604,0.9834278250959481,0.0,0.462415632911754,3.1959175747395037,2341,0.0002211535624925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q86VH5,LRRTM3,0.9573822466062429,0.7284143020080225,0.9392796384575035,0.0,0.22437718958374397,2.8494533766555126,194,0.0016489831776665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8N3F9,GPR137C,0.8058862193147268,0.8100938405330136,0.8449936472469088,0.0,0.7351419070336078,3.1961156141282574,1280,0.0003770040285855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P21728,DRD1,0.8700652706681291,0.8426863286582823,0.9358410363702075,0.0,0.30022025941904057,2.9488128951156596,7602,5.860186781727495e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8N966,ZDHHC22,0.979558412640176,0.7183857238847116,0.9897405896298287,0.0,0.18244991097687346,2.87013463713159,5189,9.89613995518955e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
O60320,FAM189A1,0.7771513909014556,0.7972139492682657,0.9286950171379316,0.0,0.3593506778857928,2.8624110351934458,395,0.0010144771237499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
A8MXK1,VSTM5,0.7109374097347694,0.767736158651692,0.8128519746568976,0.6958543123898725,0.15969330066789406,3.147073156101125,11759,2.402362355750444e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
Q8TBB6,SLC7A14,0.9685923541201416,0.8746642659667149,0.9484066834644236,0.0,0.1254511815762083,2.917114485127488,925,0.0004977501670784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,True
P41594,GRM5,0.9882023850636135,0.8209340810445893,0.9934649831405005,0.0,0.1509644513907709,2.9535659006394743,179,0.0017162332693063,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,True
Q9NRU3,CNNM1,0.7382640381479422,0.908030320774164,0.8658054102985318,0.8807806993729768,0.43883236326140435,3.8317128318550187,3009,0.0001741807455353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,True
Q9P2U7,SLC17A7,0.8125404201445684,0.7789771688516594,0.9214475970203688,0.9870925434332463,0.279703406310526,3.779761135760369,994,0.0004668503848977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,True
Q14831,GRM7,0.9076269572913969,0.8347830924669282,0.8567572309290478,0.0,0.33837509068882443,2.9375423713761974,310,0.001229623928895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,True
P42261,GRIA1,0.8701081603940105,0.843200184870023,0.9503048214073236,0.9671247828586267,0.3210637638905256,3.951801713420509,42,0.0034263811964594,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,True
Q86UE6,LRRTM1,0.8642808056362807,0.8112759871394791,0.9001398690102774,1.0000000000000009,0.2844179210454975,3.8601145828315357,4547,0.0001159195378424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,True
Q86V35,CABP7,0.826483134886523,0.8203823870788252,0.9576438934255682,0.0,0.2185259908094512,2.8230354062003675,14350,1.1316298563121308e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,True
Q86SQ6,ADGRA1,0.9786061881611674,0.7816995294580367,0.9633741672673041,0.9887507211399786,0.2128246779557477,3.925255283982235,4292,0.0001229292511912,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,True
Q8IZT8,HS3ST5,0.9410536549385137,0.7470594621636439,0.9118333749492771,1.0000000000000009,0.6354379439375072,4.2353844359889425,1496,0.0003300862039499,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,True
